step,x,y,velocity
488,20.5461396144,0.2535210960,1.2000000000
489,20.5473495441,0.2539387921,1.2800000000
490,20.5486962752,0.2542399822,1.3800000000
491,20.5501836054,0.2544345298,1.5000000000
492,20.5517660088,0.2548653426,1.6400000000
493,20.5535410867,0.2551638362,1.8000000000
494,20.5554353033,0.2557403286,1.9800000000
495,20.5575760032,0.2561524012,2.1800000000
496,20.5599227852,0.2564018290,2.3600000000
497,20.5624808957,0.2565001687,2.5600000000
498,20.5651695017,0.2570283710,2.7400000000
499,20.5680523499,0.2573433098,2.9000000000
500,20.5710898416,0.2574667770,3.0400000000
501,20.5742895305,0.2574221563,3.2000000000
502,20.5776297398,0.2579392650,3.3800000000
503,20.5810239031,0.2589448772,3.5400000000
504,20.5846812662,0.2596246527,3.7200000000
505,20.5885815869,0.2600169518,3.9200000000
506,20.5926793053,0.2601537145,4.1000000000
507,20.5969338757,0.2603687279,4.2600000000
508,20.6012782270,0.2612853583,4.4400000000
509,20.6058455122,0.2618329957,4.6000000000
510,20.6105799702,0.2620621393,4.7400000000
511,20.6153744279,0.2630736608,4.9000000000
512,20.6201700994,0.2647493502,5.0800000000
513,20.6250073079,0.2668659072,5.2800000000
514,20.6302514998,0.2683857927,5.4600000000
515,20.6358225075,0.2693855290,5.6600000000
516,20.6416766686,0.2699361632,5.8800000000
517,20.6477415115,0.2703652090,6.0800000000
518,20.6538754310,0.2718022311,6.3000000000
519,20.6602744508,0.2731528400,6.5400000000
520,20.6666440449,0.2754168788,6.7600000000
521,20.6729501300,0.2784555117,7.0000000000
522,20.6791931183,0.2821612771,7.2600000000
523,20.6861627552,0.2849315049,7.5000000000
524,20.6930440892,0.2885182642,7.7600000000
525,20.7001116338,0.2923512021,8.0400000000
526,20.7079204667,0.2951640529,8.3000000000
527,20.7162854326,0.2970729126,8.5800000000
528,20.7245944269,0.3002058049,8.8800000000
529,20.7335017259,0.3023425369,9.1600000000
530,20.7422795130,0.3057611410,9.4200000000
531,20.7508429194,0.3102314510,9.6600000000
532,20.7594596680,0.3150652944,9.8800000000
533,20.7689156988,0.3185566955,10.0800000000
534,20.7789511627,0.3208760630,10.3000000000
535,20.7894082450,0.3221955434,10.5400000000
536,20.7997199803,0.3252689318,10.7600000000
537,20.8105084821,0.3272002084,10.9600000000
538,20.8216451438,0.3281836536,11.1800000000
539,20.8330232979,0.3283886180,11.3800000000
540,20.8445755228,0.3279647067,11.5600000000
541,20.8562989273,0.3270376761,11.7600000000
542,20.8682051557,0.3257102253,11.9800000000
543,20.8801852927,0.3264003828,12.0000000000
544,20.8921852803,0.3264176493,12.0000000000
545,20.9040122476,0.3284481280,12.0000000000
546,20.9153308418,0.3324342824,12.0000000000
547,20.9270142259,0.3351726275,12.0000000000
548,20.9388887422,0.3369034839,12.0000000000
549,20.9503591647,0.3404290204,12.0000000000
550,20.9621158527,0.3428332429,12.0000000000
551,20.9734011992,0.3469125756,12.0000000000
552,20.9839949603,0.3525492614,12.0000000000
553,20.9938735097,0.3593620627,12.0000000000
554,21.0046630474,0.3645684315,11.9800000000
555,21.0146876704,0.3710546116,11.9400000000
556,21.0254998931,0.3759770339,11.8800000000
557,21.0367357752,0.3795818852,11.8000000000
558,21.0471865913,0.3848421555,11.7000000000
559,21.0581266657,0.3887586809,11.6200000000
560,21.0682626649,0.3942333427,11.5200000000
561,21.0789332868,0.3983578339,11.4400000000
562,21.0888235320,0.4039869946,11.3800000000
563,21.0992816627,0.4082668896,11.3000000000
564,21.1089154238,0.4139792138,11.2000000000
565,21.1191382337,0.4183551203,11.1200000000
566,21.1296321694,0.4218481009,11.0600000000
567,21.1403471955,0.4244227106,11.0200000000
568,21.1509243134,0.4272943263,10.9600000000
569,21.1607968591,0.4318667700,10.8800000000
570,21.1698593118,0.4377781447,10.8200000000
571,21.1781132578,0.4446498239,10.7400000000
572,21.1856451926,0.4522216373,10.6800000000
573,21.1925572726,0.4603106886,10.6400000000
574,21.2007618481,0.4669906094,10.5800000000
575,21.2098190365,0.4723026088,10.5000000000
576,21.2180362484,0.4786773581,10.4000000000
577,21.2270289276,0.4837403731,10.3200000000
578,21.2352132538,0.4899278123,10.2600000000
579,21.2430844550,0.4963835534,10.1800000000
580,21.2517504427,0.5015320539,10.0800000000
581,21.2595677086,0.5077039217,9.9600000000
582,21.2680780222,0.5126036118,9.8200000000
583,21.2769506945,0.5164234660,9.6600000000
584,21.2859637573,0.5193620199,9.4800000000
585,21.2949695530,0.5216012260,9.2800000000
586,21.3038692480,0.5232979963,9.0600000000
587,21.3121705109,0.5263945482,8.8600000000
588,21.3196439812,0.5307300807,8.6400000000
